text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len
Parsippany -Troy Hills STEM Pathways,28.00721549987793,Calibri-Bold,1,0,0,125.8207015991211,37.369590759277344,1,36
Mission Statement:,14.005849838256836,Sniglet-Regular,0,1,0,80.32749938964844,88.69420623779297,1,18
To provide PTHSD high school students with the opportunity to,12.004799842834473,Calibri,0,0,0,205.74090576171875,93.0802001953125,1,61
"concentrate their studies, beyond those required in high school, in the areas of science,",12.004799842834473,Calibri,0,0,0,80.3275146484375,108.7464599609375,1,89
"technology, engineering, and mathematics, and expose students to relevant real world",12.004799842834473,Calibri,0,0,0,80.3275146484375,123.00213623046875,1,84
"experiences through project work, conferences and presentations to enhance their high school",12.004799842834473,Calibri,0,0,0,80.3275146484375,137.2578125,1,92
experience.,12.004799842834473,Calibri,0,0,0,80.3275146484375,151.51348876953125,1,11
PATHWAY OPTIONS,15.308159828186035,Sniglet-Regular,0,0,1,240.17869567871094,438.1753845214844,1,15
REGULAR PATHWAY,15.310199737548828,Calibri-Bold,1,0,1,117.1802978515625,467.75457763671875,1,15
●,11.007583618164062,ArialMT,0,0,0,74.78160095214844,501.1643371582031,1,1
4 credits of Math,11.007583618164062,ArialMT,0,0,0,99.43699645996094,501.1643371582031,1,17
●,11.007583618164062,ArialMT,0,0,0,74.78157043457031,514.67333984375,1,1
4 credits of Science,11.007583618164062,ArialMT,0,0,0,99.43699645996094,514.67333984375,1,20
●,11.007583618164062,ArialMT,0,0,0,74.78157043457031,528.182373046875,1,1
4 credits of STEM-designated electives,11.007583618164062,ArialMT,0,0,0,99.43699645996094,528.182373046875,1,38
●,11.007583618164062,ArialMT,0,0,0,74.78157043457031,541.69140625,1,1
Maintain an overall 2.85 GPA,11.007583618164062,ArialMT,0,0,0,99.43699645996094,541.69140625,1,28
●,11.007583618164062,ArialMT,0,0,0,74.78157043457031,555.2003784179688,1,1
Participate in a minimum of 3 STEM,11.007583618164062,ArialMT,0,0,0,99.43699645996094,555.2003784179688,1,34
presentations/conferences each year,11.007583618164062,ArialMT,0,0,0,99.437744140625,568.7093505859375,1,35
with a required minimum total of 12,11.007583618164062,ArialMT,0,0,0,99.437744140625,582.2183837890625,1,35
presentations/conferences throughout,11.007583618164062,ArialMT,0,0,0,99.437744140625,595.7274169921875,1,36
the 4 years,11.007583618164062,ArialMT,0,0,0,99.437744140625,609.2363891601562,1,11
. *,11.007583618164062,Arial-BoldMT,1,0,0,153.8594970703125,609.236328125,1,3
●,11.007583618164062,ArialMT,0,0,0,74.78231048583984,622.745361328125,1,1
Join and actively participate in a,11.007583618164062,ArialMT,0,0,0,99.43773651123047,622.745361328125,1,34
STEM-related extracurricular activity or,11.007583618164062,ArialMT,0,0,0,99.43848419189453,636.25439453125,1,40
club every year of attendance. -,11.007583618164062,ArialMT,0,0,0,99.43848419189453,649.7633666992188,1,32
DISTINCTION PATHWAY,15.310199737548828,Calibri-Bold,1,0,1,351.7226867675781,467.75457763671875,1,19
●,11.007583618164062,ArialMT,0,0,0,320.7744140625,483.15301513671875,1,1
4 credits of Math - At least one math,11.007583618164062,ArialMT,0,0,0,345.4298095703125,483.15301513671875,1,37
course should be an AP Math class.,11.007583618164062,ArialMT,0,0,0,345.4305725097656,496.6620178222656,1,34
●,11.007583618164062,ArialMT,0,0,0,320.775146484375,510.1709899902344,1,1
4 credits of Science- At least one,11.007583618164062,ArialMT,0,0,0,345.4305725097656,510.1709899902344,1,34
science course should be an AP,11.007583618164062,ArialMT,0,0,0,345.43133544921875,523.6800537109375,1,30
Science class.,11.007583618164062,ArialMT,0,0,0,345.43133544921875,537.1890869140625,1,14
●,11.007583618164062,ArialMT,0,0,0,320.7759094238281,550.6980590820312,1,1
4 credits of STEM-designated electives,11.007583618164062,ArialMT,0,0,0,345.43133544921875,550.6980590820312,1,38
- One must be a Computer,11.007583618164062,ArialMT,0,0,0,345.4320983886719,564.20703125,1,24
Science/Technology Class,11.007583618164062,ArialMT,0,1,0,345.4320983886719,577.716064453125,1,24
●,11.007583618164062,ArialMT,0,0,0,320.7766418457031,591.22509765625,1,1
Maintain an overall 3.5 GPA,11.007583618164062,ArialMT,0,0,0,345.43206787109375,591.22509765625,1,27
●,11.007583618164062,ArialMT,0,0,0,320.7766418457031,604.7340698242188,1,1
Participate in a minimum of 3 STEM,11.007583618164062,ArialMT,0,0,0,345.43206787109375,604.7340698242188,1,34
presentations/conferences a year with a,11.007583618164062,ArialMT,0,0,0,345.4328308105469,618.2430419921875,1,39
required minimum total of 12,11.007583618164062,ArialMT,0,0,0,345.4328308105469,631.7520751953125,1,28
presentations/conferences throughout,11.007583618164062,ArialMT,0,0,0,345.4328308105469,645.2611083984375,1,36
the 4 years.,11.007583618164062,ArialMT,0,0,0,345.4328308105469,658.7700805664062,1,12
●,11.007583618164062,ArialMT,0,0,0,320.77740478515625,672.279052734375,1,1
Join and actively participate in a,11.007583618164062,ArialMT,0,0,0,345.4328308105469,672.279052734375,1,34
STEM-related extracurricular activity or,11.007583618164062,ArialMT,0,0,0,345.43359375,685.7880859375,1,40
club every year of attendance.,11.007583618164062,ArialMT,0,0,0,345.43359375,699.297119140625,1,30
●,11.007583618164062,ArialMT,0,0,0,320.7781677246094,712.8060913085938,1,1
Either participate in an internship or,11.007583618164062,ArialMT,0,0,0,345.43359375,712.8060913085938,1,38
design and implement a community,11.007583618164062,ArialMT,0,0,0,345.4343566894531,726.3150634765625,1,32
impact project.,11.007583618164062,ArialMT,0,0,0,345.4343566894531,739.8240966796875,1,15
Goals:,14.011449813842773,Sniglet-Regular,0,1,0,45.41230010986328,182.6382598876953,1,6
•,11.508949279785156,ArialMT,0,0,0,41.384498596191406,209.4823760986328,1,1
"Inspire keen interest in mathematics, science, engineering, and",11.508949279785156,Calibri,0,0,0,45.41263198852539,211.2694091796875,1,63
"technology, develop strong scholarship in the subject and",11.508949279785156,Calibri,0,0,0,45.41211700439453,224.78021240234375,1,57
promote the enjoyment of these studies in high school.,11.508949279785156,Calibri,0,0,0,45.41211700439453,238.291015625,1,54
•,11.508949279785156,ArialMT,0,0,0,41.384498596191406,250.01283264160156,1,1
Expose students to potential career opportunities in the field.,11.508949279785156,Calibri,0,0,0,45.41263198852539,251.79986572265625,1,63
•,11.508949279785156,ArialMT,0,0,0,41.3843994140625,263.5236511230469,1,1
Encourage students to pursue higher education and major in,11.508949279785156,Calibri,0,0,0,45.412532806396484,265.3106689453125,1,58
STEM careers.,11.508949279785156,Calibri,0,0,0,45.41211700439453,278.82147216796875,1,13
• Promote interactions with STEM professionals to learn about,11.508949279785156,Calibri,0,0,0,39.682037353515625,292.332275390625,1,61
future opportunities.,11.508949279785156,Calibri,0,0,0,45.41211700439453,305.84307861328125,1,21
• Support field experiences connected to the world outside of,11.508949279785156,Calibri,0,0,0,39.68218994140625,319.3538818359375,1,61
the school building.,11.508949279785156,Calibri,0,0,0,45.412269592285156,332.86468505859375,1,20
"• Signal to employers, universities, training programs, and",11.508949279785156,Calibri,0,0,0,39.68218994140625,346.37548828125,1,59
military that a student has completed a comprehensive course,11.508949279785156,Calibri,0,0,0,45.412269592285156,359.88629150390625,1,60
of study in a specialized area.,11.508949279785156,Calibri,0,0,0,45.412269592285156,373.3970947265625,1,31
"• Cultivate transferable work habits such as perseverance, goal",11.508949279785156,Calibri,0,0,0,39.68218994140625,386.90789794921875,1,63
