text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level
Overview,24.0,"Arial,Bold",1,1,0,252.6499938964844,211.34002685546875,1,8,0,
Foundation Level Extensions,24.0,"Arial,Bold",1,1,0,139.3459930419922,266.56402587890625,1,27,0,
Version 1.0,12.0,Arial,0,1,0,275.69000244140625,393.2900085449219,1,11,0,
International Software Testing Qualifications Board,18.0,Arial,0,1,0,103.33999633789062,481.989990234375,1,51,0,
Copyright Notice,9.960000038146973,Arial,0,1,0,70.94400024414062,661.2999877929688,1,16,0,
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,Arial,0,0,0,70.94400024414062,672.82373046875,1,93,0,
International,9.960000038146973,Arial,0,1,0,447.9100036621094,47.6400146484375,2,13,0,
Overview,12.0,Arial,0,1,0,74.42400360107422,52.44000244140625,2,8,0,
Software Testing,9.960000038146973,Arial,0,1,0,437.9500122070313,59.15997314453125,2,16,0,
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,67.44000244140625,2,28,0,
Qualifications,9.960000038146973,Arial,0,1,0,430.75,70.67999267578125,2,14,0,
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,70.67999267578125,2,5,0,
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,Arial,0,0,0,70.94400024414062,129.3800048828125,2,92,0,
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.58135986328125,728.0357666015625,2,12,0,
Page 2 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.1639404296875,728.0357666015625,2,12,0,
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.5750732421875,728.0357666015625,2,12,0,
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,742.3200073242188,2,53,0,
Qualifications Board,9.960000038146973,Arial,0,1,0,430.75,70.67999267578125,3,20,0,
International,9.960000038146973,Arial,0,1,0,447.9100036621094,47.6400146484375,3,13,0,
Overview,12.0,Arial,0,1,0,74.42400360107422,52.44000244140625,3,8,0,
Software Testing,9.960000038146973,Arial,0,1,0,437.9500122070313,59.15997314453125,3,16,0,
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,67.44000244140625,3,28,0,
Revision History,15.960000038146973,"Arial,Bold",1,1,0,70.94400024414062,123.3800048828125,3,16,0,
Version,9.960000038146973,"Arial,Bold",1,1,0,74.42400360107422,148.46002197265625,3,7,0,
Date,9.960000038146973,"Arial,Bold",1,1,0,146.4199981689453,148.46002197265625,3,4,0,
Remarks,9.960000038146973,"Arial,Bold",1,1,0,278.69000244140625,148.46002197265625,3,7,0,
0.1,9.960000038146973,Arial,0,0,0,74.42400360107422,160.82000732421875,3,3,0,
18 JUNE 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,160.82000732421875,3,12,0,
Initial version,9.960000038146973,Arial,0,0,0,278.69000244140625,160.82000732421875,3,15,0,
0.2,9.960000038146973,Arial,0,0,0,74.42400360107422,173.05999755859375,3,3,0,
23 JULY 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,173.05999755859375,3,12,0,
WG reviewed and confirmed,9.960000038146973,Arial,0,0,0,278.69000244140625,173.05999755859375,3,25,0,
0.3,9.960000038146973,Arial,0,0,0,74.42400360107422,185.29998779296875,3,3,0,
6 NOV 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,185.29998779296875,3,10,0,
amended population and diagram,9.960000038146973,Arial,0,0,0,278.69000244140625,185.29998779296875,3,30,0,
0.7,9.960000038146973,Arial,0,0,0,74.42400360107422,197.53997802734372,3,3,0,
11 DEC 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,197.53997802734372,3,11,0,
Amended Business Outcomes and Chapters matching,9.960000038146973,Arial,0,0,0,278.69000244140625,197.53997802734372,3,47,0,
0.8,9.960000038146973,Arial,0,0,0,74.42400360107422,209.780029296875,3,3,0,
20 DEC 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,209.780029296875,3,11,0,
Working group updates on 0.7,9.960000038146973,Arial,0,0,0,278.69000244140625,209.780029296875,3,28,0,
1.0,9.960000038146973,Arial,0,0,0,74.42400360107422,222.02001953125,3,3,0,
31 MAY 2014,9.960000038146973,Arial,0,0,1,146.4199981689453,222.02001953125,3,11,0,
GA release for Agile Extension,9.960000038146973,Arial,0,0,0,278.69000244140625,222.02001953125,3,30,0,
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.58399963378906,728.0399780273438,3,12,0,
Page 3 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.16656494140625,728.0399780273438,3,12,0,
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.5776977539063,728.0399780273438,3,12,0,
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,742.3200073242188,3,53,0,
..........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,151.81919860839844,153.739990234375,4,138,0,
........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,157.3370361328125,171.14013671875,4,136,0,
............................................................................,9.960000038146973,"Arial,Bold",1,0,0,322.97186279296875,188.6597900390625,4,76,0,
...............................................................,9.960000038146973,"Arial,Bold",1,0,0,358.8677062988281,206.179443359375,4,63,0,
.....................................................................................................................,9.960000038146973,Arial,0,0,0,195.8623504638672,223.818603515625,4,117,0,
............................................................................................................,9.960000038146973,Arial,0,0,0,221.818115234375,235.34234619140625,4,108,0,
...................................................................................................................,9.960000038146973,Arial,0,0,0,201.6291961669922,246.77642822265625,4,115,0,
...................................................................................................................,9.960000038146973,Arial,0,0,0,201.6291961669922,258.3001708984375,4,115,0,
...................................................................................................,9.960000038146973,Arial,0,0,0,247.74398803710935,269.82391357421875,4,99,0,
......................................................................................................................,9.960000038146973,Arial,0,0,0,192.99386596679688,281.3476257324219,4,118,0,
.........................................,9.960000038146973,"Arial,Bold",1,0,0,414.0759887695313,298.74774169921875,4,41,0,
.................................................................................................................,9.960000038146973,Arial,0,0,0,201.6192321777344,316.38690185546875,4,113,0,
....................................................................................................................................,9.960000038146973,Arial,0,0,0,146.89898681640625,327.7911071777344,4,132,0,
..........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,146.3013916015625,345.19122314453125,4,138,0,
.............................................................................................................................,9.960000038146973,Arial,0,0,0,167.0679931640625,362.8303833007813,4,125,0,
.......................................................................................................,9.960000038146973,Arial,0,0,0,230.46339416503903,374.3540954589844,4,103,0,
International,9.960000038146973,Arial,0,1,0,447.9100036621094,47.6400146484375,4,13,0,
Overview,12.0,Arial,0,1,0,74.42400360107422,52.44000244140625,4,8,0,
Software Testing,9.960000038146973,Arial,0,1,0,437.9500122070313,59.15997314453125,4,16,0,
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,67.44000244140625,4,28,0,
Qualifications,9.960000038146973,Arial,0,1,0,430.75,70.67999267578125,4,14,0,
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,70.67999267578125,4,5,0,
Table of Contents,15.960000038146973,"Arial,Bold",1,0,0,70.94400024414062,123.3800048828125,4,17,0,
Revision History,9.960000038146973,"Arial,Bold",1,1,0,70.94400024414062,153.739990234375,4,16,0,
3,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,153.739990234375,4,1,0,
Table of Contents,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,171.14013671875,4,17,0,
4,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,171.14013671875,4,1,0,
1.,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,188.6597900390625,4,2,0,
Introduction to the Foundation Level Extensions,9.960000038146973,"Arial,Bold",1,0,0,90.98348999023438,188.6597900390625,4,47,0,
6,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,188.6597900390625,4,1,0,
2.,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,206.179443359375,4,2,0,
Introduction to Foundation Level Agile Tester Extension,9.960000038146973,"Arial,Bold",1,0,0,90.98348999023438,206.179443359375,4,55,0,
7,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,206.179443359375,4,1,0,
2.1,9.960000038146973,Arial,0,0,0,80.90396118164062,223.818603515625,4,3,0,
Intended Audience,9.960000038146973,Arial,0,1,0,110.90348815917967,223.818603515625,4,17,0,
7,9.960000038146973,Arial,0,0,0,535.1795654296875,223.818603515625,4,1,0,
2.2,9.960000038146973,Arial,0,0,0,80.90396118164062,235.34234619140625,4,3,0,
Career Paths for Testers,9.960000038146973,Arial,0,0,0,110.90348815917967,235.34234619140625,4,24,0,
7,9.960000038146973,Arial,0,0,0,535.1895141601562,235.34234619140625,4,1,0,
2.3,9.960000038146973,Arial,0,0,0,80.91390991210938,246.77642822265625,4,3,0,
Learning Objectives,9.960000038146973,Arial,0,1,0,110.91343688964844,246.77642822265625,4,19,0,
7,9.960000038146973,Arial,0,0,0,535.1895141601562,246.77642822265625,4,1,0,
2.4,9.960000038146973,Arial,0,0,0,80.91390991210938,258.3001708984375,4,3,0,
Entry Requirements,9.960000038146973,Arial,0,1,0,110.91343688964844,258.3001708984375,4,18,0,
8,9.960000038146973,Arial,0,0,0,535.1895141601562,258.3001708984375,4,1,0,
2.5,9.960000038146973,Arial,0,0,0,80.91390991210938,269.82391357421875,4,3,0,
Structure and Course Duration,9.960000038146973,Arial,0,0,0,110.91343688964844,269.82391357421875,4,29,0,
8,9.960000038146973,Arial,0,0,0,535.1895141601562,269.82391357421875,4,1,0,
2.6,9.960000038146973,Arial,0,0,0,80.91390991210938,281.3476257324219,4,3,0,
Keeping It Current,9.960000038146973,Arial,0,1,0,110.91343688964844,281.3476257324219,4,18,0,
9,9.960000038146973,Arial,0,0,0,535.1895141601562,281.3476257324219,4,1,0,
3.,9.960000038146973,"Arial,Bold",1,0,0,70.95391845703125,298.74774169921875,4,2,0,
Overview of the Foundation Level Extension –,9.960000038146973,"Arial,Bold",1,0,0,90.99343872070312,298.74774169921875,4,44,0,
10,9.960000038146973,"Arial,Bold",1,0,0,529.542236328125,298.74774169921875,4,2,0,
3.1,9.960000038146973,Arial,0,0,0,80.90402221679688,316.38690185546875,4,3,0,
Business Outcomes,9.960000038146973,Arial,0,1,0,110.90354919433594,316.38690185546875,4,17,0,
10,9.960000038146973,Arial,0,0,0,529.542236328125,316.38690185546875,4,2,0,
3.2,9.960000038146973,Arial,0,0,0,80.90402221679688,327.7911071777344,4,3,0,
Content,9.960000038146973,Arial,0,1,0,110.90354919433594,327.7911071777344,4,7,0,
10,9.960000038146973,Arial,0,0,0,529.542236328125,327.7911071777344,4,2,0,
4.,9.960000038146973,"Arial,Bold",1,0,0,70.94400024414062,345.19122314453125,4,2,0,
References,9.960000038146973,"Arial,Bold",1,1,0,90.9835205078125,345.19122314453125,4,10,0,
12,9.960000038146973,"Arial,Bold",1,0,0,529.542236328125,345.19122314453125,4,2,0,
4.1,9.960000038146973,Arial,0,0,0,80.90402221679688,362.8303833007813,4,3,0,
Trademarks,9.960000038146973,Arial,0,1,0,110.90354919433594,362.8303833007813,4,10,0,
12,9.960000038146973,Arial,0,0,0,529.55224609375,362.8303833007813,4,2,0,
4.2,9.960000038146973,Arial,0,0,0,80.91403198242188,374.3540954589844,4,3,0,
Documents and Web Sites,9.960000038146973,Arial,0,0,0,110.91355895996094,374.3540954589844,4,23,0,
12,9.960000038146973,Arial,0,0,0,529.55224609375,374.3540954589844,4,2,0,
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.601318359375,728.0635986328125,4,12,0,
Page 4 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.18389892578125,728.0635986328125,4,12,0,
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.5950317382813,728.0635986328125,4,12,0,
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,742.3200073242188,4,53,0,
International,9.960000038146973,Arial,0,1,0,447.9100036621094,47.6400146484375,5,13,0,
Overview,12.0,Arial,0,1,0,74.42400360107422,52.44000244140625,5,8,0,
Software Testing,9.960000038146973,Arial,0,1,0,437.9500122070313,59.15997314453125,5,16,0,
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,67.44000244140625,5,28,0,
Qualifications,9.960000038146973,Arial,0,1,0,430.75,70.67999267578125,5,14,0,
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,70.67999267578125,5,5,0,
Acknowledgements,15.960000038146973,Arial,0,1,0,70.94400024414062,123.3800048828125,5,16,0,
This document was produced by a team from the International Software Testing Qualifications Board,9.960000038146973,Arial,0,0,0,70.94400024414062,153.8599853515625,5,97,0,
Foundation Level Working Group.,9.960000038146973,Arial,0,1,0,70.94400024414062,165.26416015625,5,31,0,
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,9.960000038146973,Arial,0,0,0,70.94400024414062,188.3016357421875,5,104,0,
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.960000038146973,Arial,0,0,0,70.94400024414062,211.339111328125,5,100,0,
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.960000038146973,Arial,0,0,0,70.94400024414062,222.7432861328125,5,94,0,
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.960000038146973,Arial,0,1,0,70.94400024414062,234.26702880859372,5,99,0,
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",9.960000038146973,Arial,0,0,0,70.94400024414062,245.82061767578125,5,88,0,
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.960000038146973,Arial,0,1,0,70.94400024414062,268.85809326171875,5,93,0,
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",9.960000038146973,Arial,0,0,0,70.94400024414062,280.3818054199219,5,71,0,
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.960000038146973,Arial,0,1,0,70.94400024414062,303.2997741699219,5,89,0,
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.960000038146973,Arial,0,1,0,70.94400024414062,314.823486328125,5,97,0,
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",9.960000038146973,Arial,0,1,0,70.94400024414062,326.3471984863281,5,95,0,
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",9.960000038146973,Arial,0,0,0,70.94400024414062,337.87091064453125,5,56,0,
"The team thanks also the following persons, from the National Boards and the Agile expert community,",9.960000038146973,Arial,0,0,0,70.94400024414062,360.7888793945313,5,100,0,
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.960000038146973,Arial,0,0,0,70.94400024414062,372.3125915527344,5,105,0,
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",9.960000038146973,Arial,0,1,0,70.94400024414062,383.83642578125,5,96,0,
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.960000038146973,Arial,0,1,0,70.94400024414062,395.3800659179688,5,99,0,
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.960000038146973,Arial,0,1,0,70.94400024414062,406.9037780761719,5,109,0,
"Morgan,",9.960000038146973,Arial,0,1,0,70.94400024414062,418.427490234375,5,7,0,
