text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level
"BENNETT,",12,OCR,0,0,1,893,591,1,8,0,
COLEMAN,12,OCR,0,0,1,1102,591,1,7,0,
&,12,OCR,0,0,0,1311,587,1,1,0,
"CO,",12,OCR,0,0,1,1355,592,1,3,0,
"LTD,",12,OCR,0,0,1,1430,591,1,4,0,
WWW.ECONOMICTIMES.COM,12,OCR,0,0,1,2535,143,1,21,0,
VOL.,12,OCR,0,0,1,2256,592,1,4,0,
13,12,OCR,0,0,0,2367,594,1,2,0,
NO.,12,OCR,0,0,1,2417,592,1,3,0,
29,12,OCR,0,0,0,2502,594,1,2,0,
|,12,OCR,0,0,0,2565,593,1,1,0,
NEW,12,OCR,0,0,1,2586,592,1,3,0,
DELHI,12,OCR,0,0,1,2700,592,1,5,0,
/,12,OCR,0,0,0,2850,594,1,1,0,
GURGAON,12,OCR,0,0,1,2880,592,1,7,0,
|,12,OCR,0,0,0,3094,588,1,1,0,
10,12,OCR,0,0,0,3143,594,1,2,0,
PAGES,12,OCR,0,0,1,3192,592,1,5,0,
|,12,OCR,0,0,0,3350,593,1,1,0,
710,12,OCR,0,0,0,3373,594,1,3,0,
ONLY,12,OCR,0,0,1,3446,592,1,4,0,
Meet,12,OCR,0,1,0,953,756,1,4,1,H2
the,12,OCR,0,0,0,1331,752,1,3,1,H2
Boss,12,OCR,0,1,0,1600,756,1,4,1,H2
Babies,12,OCR,0,1,0,1951,748,1,6,1,H2
Teenpreneurs,12,OCR,0,1,0,947,904,1,12,0,
are,12,OCR,0,0,0,1448,914,1,3,0,
here.,12,OCR,0,0,0,1577,901,1,5,0,
Their,12,OCR,0,1,0,1764,900,1,5,0,
B-school,12,OCR,0,0,0,1966,901,1,8,0,
is,12,OCR,0,0,0,2285,900,1,2,0,
the,12,OCR,0,0,0,2351,901,1,3,0,
internet,12,OCR,0,0,0,2485,900,1,8,0,
but,12,OCR,0,0,0,2780,901,1,3,0,
they,12,OCR,0,0,0,2908,901,1,4,0,
are,12,OCR,0,0,0,3084,914,1,3,0,
looking,12,OCR,0,0,0,953,998,1,7,0,
for,12,OCR,0,0,0,1225,998,1,3,0,
solutions,12,OCR,0,0,0,1344,998,1,9,0,
to,12,OCR,0,0,0,1675,1002,1,2,0,
real-world,12,OCR,0,0,0,1765,999,1,10,0,
problems,12,OCR,0,0,0,2146,999,1,8,0,
beep,12,OCR,0,0,0,2546,1023,1,4,0,
pive,12,OCR,0,0,0,2696,1024,1,4,0,
>>,12,OCR,0,0,0,2843,1029,1,2,0,
5,12,OCR,0,0,0,2923,1023,1,1,0,
TIMES,12,OCR,0,0,1,3872,139,1,5,0,
"SUNDAY,",12,OCR,0,0,1,4748,592,1,7,0,
20,12,OCR,0,0,0,4954,594,1,2,0,
JULY,12,OCR,0,0,1,5012,592,1,4,0,
2025,12,OCR,0,0,0,5138,594,1,4,0,
Inside,12,OCR,0,1,0,237,1267,1,6,0,
Story,12,OCR,0,1,0,503,1271,1,5,0,
Deep,12,OCR,0,1,0,168,1453,1,4,1,H3
Dive,12,OCR,0,1,0,377,1453,1,4,1,H3
"P4,5",12,OCR,0,1,1,566,1461,1,4,0,
@,12,OCR,0,0,0,166,1558,1,1,0,
When,12,OCR,0,1,0,212,1553,1,4,0,
Do,12,OCR,0,1,0,357,1555,1,2,0,
We,12,OCR,0,1,0,426,1555,1,2,0,
Sail?,12,OCR,0,1,0,511,1552,1,5,0,
@,12,OCR,0,0,0,166,1641,1,1,0,
The,12,OCR,0,1,0,212,1637,1,3,0,
Great,12,OCR,0,1,0,306,1638,1,5,0,
Thrift,12,OCR,0,1,0,438,1635,1,6,0,
Valley,12,OCR,0,1,0,577,1637,1,6,0,
@,12,OCR,0,0,0,166,1724,1,1,0,
Be,12,OCR,0,1,0,214,1722,1,2,0,
"Vanilla,",12,OCR,0,1,0,279,1719,1,8,0,
"Shubman,",12,OCR,0,1,0,460,1720,1,8,0,
It’s,12,OCR,0,0,0,698,1721,1,4,0,
Good,12,OCR,0,1,0,773,1719,1,4,0,
"@———_,",12,OCR,0,0,0,922,1724,1,6,0,
Sunday,12,OCR,0,1,0,166,1811,1,6,1,H3
Chatter,12,OCR,0,1,0,464,1806,1,7,1,H3
P,12,OCR,0,1,1,761,1822,1,1,0,
6,12,OCR,0,0,0,815,1821,1,1,0,
New,12,OCR,0,1,0,1250,1843,1,3,0,
Delhi:,12,OCR,0,1,0,1396,1843,1,6,0,
Demand,12,OCR,0,1,0,1583,1843,1,6,0,
for,12,OCR,0,0,0,1806,1843,1,3,0,
Mix,12,OCR,0,1,0,2787,1840,1,3,0,
Petrol,12,OCR,0,1,0,3069,1840,1,6,0,
"_2,657",12,OCR,0,0,0,3247,1853,1,6,0,
_,12,OCR,0,0,0,3447,1840,1,1,0,
"2,482",12,OCR,0,0,0,3483,1853,1,5,0,
fq,12,OCR,0,0,0,3714,1835,1,2,0,
-6.6,12,OCR,0,0,0,3790,1853,1,4,0,
"Vangaal,",12,OCR,0,1,0,4942,1839,1,8,0,
associate,12,OCR,0,0,0,5136,1839,1,9,0,
director,12,OCR,0,0,0,5331,1839,1,8,0,
