text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level
ADDRESS:,12.4014,Helvetica,0,0,1,32.6488,457.6138,1,8,0,
TOPJUMP,12.4137,Helvetica,0,0,1,131.4354,471.7772,1,7,0,
3735,12.4014,Helvetica,0,0,0,114.8059,485.7007,1,4,0,
"PIGEON FORGE, TN 37863",12.4014,Helvetica,0,0,1,81.0790,499.6294,1,22,0,
(NEAR DIXIE STAMPEDE,9.401,Helvetica,0,0,1,58.3879,510.9069,1,20,0,
RSVP:,12.4014,Helvetica-Bold,1,0,1,29.489,536.6031,1,5,0,
CLOSED TOED SHOES,7.2007,Helvetica,0,0,1,62.2978,563.4897,1,17,0,
PARENTS,7.2007,Helvetica,0,0,1,59.6057,579.5714,1,7,0,
PLEASE VISIT,7.2007,Helvetica,0,0,1,65.1152,588.9361,1,12,0,
SO YOUR CHILD CAN ATTEND.,7.2007,Helvetica,0,0,1,106.7062,597.8183,1,25,0,
HOPE,22.7006,Helvetica-Bold,1,0,1,33.4188,626.8553,1,4,1,H1
WWW.TOPJUMP.COM,18.0258,Helvetica,0,0,1,93.7867,649.6610,1,15,0,
